Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
17,Houston Texans,16,294,471,62.4,3423,24,5.1,12,61,2.5,7.6,7.5,12.2,213.9,92.3,25,175,57,60,5.0,6.9,6.8,-67.19
18,Minnesota Vikings,16,324,530,61.1,3449,15,2.8,12,67,2.3,7.1,6.6,11.6,215.6,82.5,45,304,98,99,7.8,6.0,5.6,-11.53
19,St. Louis Rams,16,278,444,62.6,3475,20,4.5,12,56,2.7,8.3,8.0,13.2,217.2,92.5,30,201,77,87,6.3,7.3,7.0,-69.64
20,San Francisco 49ers,16,331,545,60.7,3507,22,4.0,12,79,2.2,6.7,6.5,11.1,219.2,85.0,30,161,62,67,5.2,6.1,5.9,-49.22
21,Atlanta Falcons,16,325,549,59.2,3526,20,3.6,10,76,1.8,6.9,6.8,11.6,220.4,84.6,34,245,70,81,5.8,6.0,6.0,-34.23
22,Arizona Cardinals,16,323,517,62.5,3540,36,7.0,13,75,2.5,7.2,7.5,11.6,221.3,96.9,31,191,78,68,5.7,6.5,6.7,-73.07
23,New Orleans Saints,16,299,526,56.8,3547,21,4.0,15,91,2.9,7.0,6.6,12.4,221.7,80.3,28,161,64,70,5.1,6.4,5.9,-62.38
24,Jacksonville Jaguars,16,297,465,63.9,3586,25,5.4,13,57,2.8,8.1,7.9,12.7,224.1,95.4,29,191,67,81,5.9,7.3,7.1,-104.82
25,Miami Dolphins,16,320,551,58.1,3644,18,3.3,18,83,3.3,7.0,6.2,12.1,227.8,77.0,40,218,70,72,6.8,6.2,5.4,-20.18
26,Denver Broncos,16,333,495,67.3,3656,20,4.0,6,52,1.2,7.7,7.9,11.4,228.5,98.5,26,141,54,64,5.0,7.0,7.3,-136.58
27,Detroit Lions,16,303,443,68.4,3716,25,5.6,4,46,0.9,8.8,9.5,12.9,232.3,110.9,30,191,56,75,6.3,7.9,8.5,-160.80
28,Kansas City Chiefs,16,348,522,66.7,3748,21,4.0,13,58,2.5,7.3,7.0,10.9,234.3,91.1,10,62,34,56,1.9,7.0,6.7,-77.19
29,New York Jets,16,368,572,64.3,3752,23,4.0,14,78,2.4,7.0,6.7,10.9,234.5,88.1,41,253,66,69,6.7,6.1,5.8,-31.23
30,Chicago Bears,16,383,622,61.6,3859,21,3.4,22,104,3.5,6.6,5.6,10.6,241.2,77.2,28,217,77,97,4.3,5.9,5.1,-5.43
31,San Diego Chargers,16,411,605,67.9,3958,25,4.1,15,78,2.5,6.8,6.5,10.0,247.4,90.3,28,132,56,52,4.4,6.3,6.0,-55.97
32,Seattle Seahawks,16,366,566,64.7,4149,25,4.4,9,66,1.6,7.7,7.8,11.9,259.3,96.0,35,193,82,74,5.8,6.9,7.1,-108.29
,Avg Team,,315.0,516.4,61.0,3380.5,20.2,3.9,14.5,75.0,2.8,6.5,6.1,10.7,211.3,83.2,32.4,205.9,70.9,74.0,5.9,6.16,5.7,-28.0
,League Total,,10081,16526,61.0,108177,646,3.9,465,2401,2.8,6.5,6.1,10.7,211.3,83.2,1036,6589,2270,2369,5.9,6.16,5.7,
,Avg Tm/G,,19.7,32.3,61.0,211.3,1.3,3.9,0.9,4.7,2.8,6.5,6.1,10.7,211.3,83.2,2.0,12.9,4.4,4.6,5.9,6.16,5.7,
