Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Pittsburgh Steelers,16,301,533,56.5,2511,12,2.3,20,92,3.8,5.4,4.1,9.5,156.9,63.4,51,350,86,83,8.7,4.3,3.2,123.09
2,Baltimore Ravens,16,276,528,52.3,2875,17,3.2,26,104,4.9,5.9,4.4,11.3,179.7,60.6,34,257,91,81,6.0,5.1,3.6,122.67
3,Philadelphia Eagles,16,284,525,54.1,2913,19,3.6,15,100,2.9,6.1,5.6,11.4,182.1,72.9,48,312,85,98,8.4,5.1,4.6,101.01
4,Tampa Bay Buccaneers,16,276,475,58.1,2997,23,4.8,22,77,4.6,6.7,5.6,11.5,187.3,75.3,29,190,71,57,5.8,5.9,4.9,37.84
5,Dallas Cowboys,16,308,508,60.6,3003,19,3.7,8,60,1.6,6.6,6.7,11.0,187.7,86.2,59,374,112,92,10.4,5.3,5.3,-10.01
6,Indianapolis Colts,16,329,481,68.4,3009,6,1.2,15,51,3.1,6.7,5.5,9.8,188.1,78.0,30,200,53,74,5.9,5.9,4.8,-26.62
7,Washington Redskins,16,290,511,56.8,3095,16,3.1,13,96,2.5,6.3,5.8,11.2,193.4,75.6,24,141,64,60,4.5,5.8,5.3,-22.25
8,New York Giants,16,296,503,58.8,3139,17,3.4,17,76,3.4,6.8,6.0,11.6,196.2,76.7,42,288,75,100,7.7,5.8,5.0,-0.58
9,Tennessee Titans,16,342,575,59.5,3196,12,2.1,20,89,3.5,6.0,4.9,10.1,199.8,69.2,44,262,128,107,7.1,5.2,4.1,64.21
10,Oakland Raiders,16,266,471,56.5,3220,20,4.2,16,71,3.4,7.2,6.6,12.8,201.3,79.3,32,188,52,65,6.4,6.4,5.8,-49.60
11,New England Patriots,16,288,474,60.8,3222,27,5.7,14,58,3.0,7.3,7.1,12.0,201.4,89.8,31,239,70,65,6.1,6.4,6.2,-69.15
12,Green Bay Packers,16,287,518,55.4,3244,22,4.2,22,88,4.2,6.5,5.5,11.8,202.8,71.9,27,140,74,52,5.0,6.0,4.9,22.34
13,Buffalo Bills,16,301,492,61.2,3271,14,2.8,10,79,2.0,7.0,6.6,11.4,204.4,83.2,24,170,55,77,4.7,6.3,6.0,-20.29
14,Cleveland Browns,16,286,446,64.1,3273,19,4.3,23,67,5.2,7.5,6.1,11.8,204.6,79.7,17,90,57,56,3.7,7.1,5.7,-62.00
15,Cincinnati Bengals,16,315,506,62.3,3287,23,4.5,12,83,2.4,6.7,6.6,10.8,205.4,87.3,17,122,68,62,3.3,6.3,6.1,-47.52
16,Carolina Panthers,16,333,557,59.8,3387,19,3.4,12,83,2.2,6.5,6.2,10.9,211.7,81.4,37,230,61,68,6.2,5.7,5.4,7.69
