Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
13,Cincinnati Bengals,16,287,454,63.2,3262,30,6.6,9,53,2.0,7.5,8.0,11.9,203.9,99.9,24,153,66,5.0,6.8,7.2,-107.05
14,Jacksonville Jaguars,16,314,519,60.5,3264,19,3.7,14,82,2.7,6.7,6.2,11.1,204.0,81.5,36,224,72,6.5,5.9,5.4,-17.41
15,Cleveland Browns,16,299,513,58.3,3269,20,3.9,17,76,3.3,6.7,6.0,11.5,204.3,77.8,28,172,73,5.2,6.0,5.4,-20.72
16,Atlanta Falcons,16,285,514,55.4,3287,23,4.5,24,80,4.7,7.0,5.8,12.6,205.4,72.8,47,298,84,8.4,5.9,4.8,8.51
17,Denver Broncos,16,360,566,63.6,3337,15,2.7,9,64,1.6,6.3,6.2,10.0,208.6,83.7,40,251,72,6.6,5.5,5.3,-32.64
18,Seattle Seahawks,16,321,555,57.8,3411,21,3.8,19,89,3.4,6.5,5.7,11.2,213.2,75.6,28,185,71,4.8,5.9,5.1,-48.74
19,Dallas Cowboys,16,334,574,58.2,3449,22,3.8,19,77,3.3,6.2,5.5,10.7,215.6,75.6,24,137,72,4.0,5.8,5.1,0.96
20,Pittsburgh Steelers,16,336,573,58.6,3460,19,3.3,19,97,3.3,6.6,5.8,11.2,216.3,75.6,50,313,86,8.0,5.6,4.8,20.88
21,New York Jets,16,359,551,65.2,3490,17,3.1,15,78,2.7,6.7,6.1,10.3,218.1,83.2,30,195,61,5.2,6.0,5.4,-41.95
22,San Francisco 49ers,16,340,552,61.6,3506,23,4.2,19,90,3.4,6.7,6.0,10.9,219.1,80.9,32,195,72,5.5,6.0,5.3,-71.61
23,Oakland Raiders,16,346,570,60.7,3526,21,3.7,21,97,3.7,6.6,5.7,10.9,220.4,77.3,43,261,80,7.0,5.8,4.9,-32.86
24,Chicago Bears,16,335,547,61.2,3530,24,4.4,9,65,1.6,6.9,7.1,11.3,220.6,89.7,35,252,79,6.0,6.1,6.2,-65.62
25,Tennessee Titans,16,339,562,60.3,3540,27,4.8,18,85,3.2,6.7,6.2,11.1,221.3,82.8,40,213,77,6.6,5.9,5.4,-33.33
26,Baltimore Ravens,16,360,573,62.8,3591,16,2.8,25,105,4.4,6.7,5.3,10.6,224.4,73.4,33,232,91,5.4,5.9,4.6,-14.39
27,New Orleans Saints,16,343,593,57.8,3805,25,4.2,20,107,3.4,6.8,6.2,11.8,237.8,78.8,39,253,85,6.2,6.0,5.4,-13.74
28,Arizona Cardinals,16,335,535,62.6,3874,29,5.4,17,67,3.2,7.5,7.1,12.0,242.1,90.3,21,131,63,3.8,7.0,6.6,-109.23
29,Minnesota Vikings,16,335,542,61.8,4103,33,6.1,16,54,3.0,7.9,7.8,12.8,256.4,94.6,27,197,75,4.7,7.2,7.1,-136.87
30,Detroit Lions,16,371,591,62.8,4150,27,4.6,10,96,1.7,7.5,7.6,11.9,259.4,93.6,33,254,61,5.3,6.7,6.8,-105.98
31,Kansas City Chiefs,16,403,616,65.4,4181,27,4.4,18,73,2.9,7.1,6.7,10.9,261.3,88.8,34,215,71,5.2,6.4,6.0,-77.62
32,San Diego Chargers,16,375,607,61.8,4295,26,4.3,17,79,2.8,7.5,7.1,12.1,268.4,87.2,39,231,82,6.0,6.6,6.3,-50.38
,Avg Team,,322.3,540.4,59.6,3395.7,21.7,4.0,16.5,82.6,3.1,6.3,5.7,10.5,212.2,80.4,36.7,235.6,76.0,6.4,5.88,5.3,-16.0
,League Total,,10314,17292,59.6,108661,694,4.0,528,2642,3.1,6.3,5.7,10.5,212.2,80.4,1175,7540,2431,6.4,5.88,5.3,
,Avg Tm/G,,20.1,33.8,59.6,212.2,1.4,4.0,1.0,5.2,3.1,6.3,5.7,10.5,212.2,80.4,2.3,14.7,4.7,6.4,5.88,5.3,
