Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
1,Tampa Bay Buccaneers,16,259,510,50.8,2490,10,2.0,31,102,6.1,5.5,3.1,10.8,155.6,48.4,43,295,80,7.8,4.5,2.3,163.19
2,Indianapolis Colts,16,288,468,61.5,2917,19,4.1,10,74,2.1,6.8,6.6,11.0,182.3,86.1,36,243,71,7.1,5.8,5.6,-2.30
3,Green Bay Packers,16,287,531,54.0,2987,24,4.5,24,95,4.5,6.1,4.9,11.2,186.7,68.7,43,241,67,7.5,5.2,4.2,78.61
4,Carolina Panthers,16,293,522,56.1,2993,18,3.4,17,107,3.3,6.4,5.6,11.4,187.1,73.4,52,336,95,9.1,5.2,4.5,50.13
5,Washington Redskins,16,304,531,57.3,3033,19,3.6,14,86,2.6,6.2,5.7,10.8,189.6,76.5,40,250,97,7.0,5.3,4.9,32.87
6,Buffalo Bills,16,281,495,56.8,3067,24,4.8,10,64,2.0,6.6,6.7,11.7,191.7,84.7,31,212,55,5.9,5.8,5.9,-35.81
7,Philadelphia Eagles,16,333,563,59.1,3094,18,3.2,15,102,2.7,6.1,5.6,10.3,193.4,76.4,56,348,99,9.0,5.0,4.5,89.84
8,Miami Dolphins,16,294,520,56.5,3102,20,3.8,21,78,4.0,6.6,5.5,11.7,193.9,72.7,47,327,64,8.3,5.5,4.5,46.44
9,New York Giants,16,311,541,57.5,3119,17,3.1,11,61,2.0,6.2,5.9,10.8,194.9,77.9,37,250,99,6.4,5.4,5.1,11.43
10,Houston Texans,16,281,512,54.9,3141,23,4.5,10,110,2.0,6.6,6.6,12.0,196.3,82.1,35,237,81,6.4,5.7,5.8,-6.51
11,New England Patriots,16,314,531,59.1,3179,23,4.3,18,78,3.4,6.4,5.7,10.8,198.7,78.2,34,199,60,6.0,5.6,5.0,25.63
12,St. Louis Rams,16,292,461,63.3,3209,15,3.3,12,71,2.6,7.5,7.0,11.8,200.6,86.0,38,240,70,7.6,6.4,5.9,-16.01
