Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
15,Cleveland Browns,16,283,499,56.7,3242,20,4.0,18,82,3.6,6.8,5.9,11.9,202.6,75.9,28,137,79,64,5.3,6.2,5.4,-31.96
16,Seattle Seahawks,16,299,504,59.3,3256,23,4.6,12,79,2.4,7.0,6.9,11.8,203.5,86.1,41,282,65,76,7.5,6.0,5.8,-23.07
17,Green Bay Packers,16,286,515,55.5,3309,25,4.9,23,97,4.5,7.1,6.0,12.7,206.8,75.4,46,337,97,60,8.2,5.9,4.9,20.31
18,Kansas City Chiefs,16,314,506,62.1,3334,18,3.6,15,64,3.0,7.0,6.3,11.2,208.4,82.3,32,190,56,73,5.9,6.2,5.6,-13.85
19,Tampa Bay Buccaneers,16,301,493,61.1,3354,26,5.3,11,66,2.2,7.1,7.2,11.7,209.6,91.0,25,166,69,68,4.8,6.5,6.5,-56.16
20,Pittsburgh Steelers,16,319,529,60.3,3393,21,4.0,20,83,3.8,6.8,5.9,11.3,212.1,78.3,39,226,64,74,6.9,6.0,5.1,4.85
21,Denver Broncos,16,327,538,60.8,3407,13,2.4,17,77,3.2,6.7,5.8,11.0,212.9,75.6,35,202,65,67,6.1,5.9,5.1,18.12
22,Houston Texans,16,328,505,65.0,3444,22,4.4,11,66,2.2,7.2,7.1,11.1,215.3,91.6,28,191,56,70,5.3,6.5,6.4,-66.55
23,Washington Redskins,16,289,486,59.5,3491,30,6.2,6,82,1.2,7.4,8.1,12.4,218.2,97.8,19,95,43,48,3.8,6.9,7.6,-143.88
24,Dallas Cowboys,16,301,511,58.9,3506,25,4.9,18,96,3.5,7.3,6.7,12.4,219.1,83.2,34,223,57,50,6.2,6.4,5.9,-43.60
25,Detroit Lions,16,339,511,66.3,3520,22,4.3,12,57,2.3,7.3,7.1,11.0,220.0,92.3,30,201,54,62,5.5,6.5,6.3,-79.06
26,San Francisco 49ers,16,331,518,63.9,3571,25,4.8,14,65,2.7,7.4,7.1,11.5,223.2,90.9,34,246,64,63,6.2,6.5,6.2,-84.02
27,Tennessee Titans,16,335,530,63.2,3602,24,4.5,17,79,3.2,7.1,6.5,11.2,225.1,86.0,26,148,62,68,4.7,6.5,6.0,-49.89
28,New York Giants,16,333,567,58.7,3649,21,3.7,17,97,3.0,6.8,6.1,11.5,228.1,79.0,32,181,63,69,5.3,6.1,5.5,-31.74
29,Atlanta Falcons,16,321,515,62.3,3668,20,3.9,12,75,2.3,7.6,7.3,12.2,229.3,88.8,37,235,69,87,6.7,6.6,6.4,-72.31
30,Arizona Cardinals,16,321,522,61.5,3694,21,4.0,16,84,3.1,7.5,7.0,12.2,230.9,85.4,38,238,65,77,6.8,6.6,6.1,-64.08
31,Minnesota Vikings,16,355,599,59.3,3818,15,2.5,21,72,3.5,6.7,5.6,11.3,238.6,73.1,30,197,59,76,4.8,6.1,5.0,14.20
32,Cincinnati Bengals,16,349,555,62.9,3818,24,4.3,19,99,3.4,7.3,6.6,11.5,238.6,84.9,35,211,80,58,5.9,6.5,5.8,-64.20
,Avg Team,,306.1,512.2,59.8,3277.0,20.3,4.0,16.3,80.2,3.2,6.4,5.8,10.7,204.8,80.4,36.3,231.7,68.4,69.3,6.6,5.97,5.4,-12.6
,League Total,,9796,16389,59.8,104864,648,4.0,520,2565,3.2,6.4,5.8,10.7,204.8,80.4,1163,7413,2188,2218,6.6,5.97,5.4,
,Avg Tm/G,,19.1,32.0,59.8,204.8,1.3,4.0,1.0,5.0,3.2,6.4,5.8,10.7,204.8,80.4,2.3,14.5,4.3,4.3,6.6,5.97,5.4,
