Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Oakland Raiders,16,245,410,59.8,2413,17,4.1,18,66,4.4,6.4,5.3,10.7,150.8,74.1,34,218,50,84,7.7,5.4,4.4,16.48
2,Indianapolis Colts,16,266,415,64.1,2548,16,3.9,15,61,3.6,6.5,5.7,10.2,159.3,80.4,25,157,55,55,5.7,5.8,5.0,-23.51
3,New Orleans Saints,16,267,474,56.3,2854,26,5.5,11,68,2.3,6.6,6.6,11.7,178.4,85.1,38,268,92,68,7.4,5.6,5.6,0.80
4,Carolina Panthers,16,291,500,58.2,3000,22,4.4,14,77,2.8,6.5,6.2,11.2,187.5,80.8,41,265,71,75,7.6,5.5,5.2,9.01
5,Miami Dolphins,16,279,497,56.1,3007,22,4.4,8,85,1.6,6.6,6.8,11.7,187.9,84.4,47,268,61,64,8.6,5.5,5.7,-4.08
6,Baltimore Ravens,16,279,509,54.8,3011,16,3.1,28,110,5.5,6.7,4.9,12.3,188.2,63.4,60,418,115,93,10.5,5.3,3.6,116.11
7,Buffalo Bills,16,324,513,63.2,3019,18,3.5,13,86,2.5,6.4,6.0,10.1,188.7,82.5,40,265,63,65,7.2,5.5,5.1,26.96
8,St. Louis Rams,16,266,451,59.0,3035,21,4.7,17,65,3.8,7.2,6.4,12.2,189.7,81.1,34,214,69,82,7.0,6.3,5.5,-59.30
9,Philadelphia Eagles,16,309,525,58.9,3067,17,3.2,19,122,3.6,6.4,5.4,10.9,191.7,73.6,40,300,75,73,7.1,5.4,4.5,38.67
10,Jacksonville Jaguars,16,294,523,56.2,3078,12,2.3,20,86,3.8,6.3,5.0,11.1,192.4,66.8,35,200,62,75,6.3,5.5,4.3,68.22
11,Chicago Bears,16,328,581,56.5,3116,18,3.1,24,85,4.1,5.8,4.6,10.3,194.8,66.5,40,272,77,86,6.4,5.0,3.9,103.39
12,New England Patriots,16,294,518,56.8,3203,10,1.9,22,71,4.2,6.7,5.2,11.9,200.2,66.1,44,281,99,61,7.8,5.7,4.3,30.13
13,San Diego Chargers,16,307,538,57.1,3212,19,3.5,16,103,3.0,6.6,6.0,11.6,200.8,76.6,61,351,78,76,10.2,5.4,4.8,29.66
14,New York Jets,16,316,532,59.4,3222,19,3.6,16,60,3.0,6.5,5.8,10.9,201.4,78.0,35,230,54,51,6.2,5.7,5.1,12.16
