Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
1,Tampa Bay Buccaneers,16,247,436,56.7,2579,21,4.8,16,85,3.7,6.5,5.8,11.5,161.2,77.2,45,264,74,9.4,5.4,4.7,46.38
2,Miami Dolphins,16,244,434,56.2,2592,20,4.6,15,85,3.5,6.5,5.9,11.5,162.0,76.9,36,223,77,7.7,5.5,4.9,1.70
3,Buffalo Bills,16,261,486,53.7,2624,20,4.1,24,84,4.9,6.1,4.7,11.3,164.0,65.2,45,319,84,8.5,4.9,3.7,51.54
4,Pittsburgh Steelers,16,269,484,55.6,2835,14,2.9,19,86,3.9,6.3,5.1,11.4,177.2,68.0,41,225,80,7.8,5.4,4.3,77.53
5,Cleveland Browns,16,277,460,60.2,2901,17,3.7,15,69,3.3,6.7,6.0,11.2,181.3,79.0,32,190,63,6.5,5.9,5.2,-0.26
6,Denver Broncos,16,272,484,56.2,2947,17,3.5,12,93,2.5,6.6,6.2,11.8,184.2,78.0,38,266,78,7.3,5.6,5.3,39.90
7,Washington Redskins,16,294,515,57.1,2977,17,3.3,18,74,3.5,6.3,5.3,11.0,186.1,72.2,40,245,81,7.2,5.4,4.5,32.30
8,New York Giants,16,292,467,62.5,3030,28,6.0,14,63,3.0,7.0,6.9,11.2,189.4,90.9,40,250,82,7.9,6.0,5.8,-58.93
9,Arizona Cardinals,16,271,505,53.7,3036,18,3.6,15,94,3.0,6.5,5.8,12.0,189.8,73.2,38,229,78,7.0,5.6,5.0,18.70
10,Baltimore Ravens,16,276,501,55.1,3122,14,2.8,21,81,4.2,6.8,5.4,12.3,195.1,68.0,39,264,86,7.2,5.8,4.6,99.21
11,St. Louis Rams,16,292,492,59.3,3174,24,4.9,6,65,1.2,6.9,7.4,11.7,198.4,91.6,34,241,77,6.5,6.0,6.4,-47.98
12,Philadelphia Eagles,16,334,550,60.7,3212,16,2.9,17,107,3.1,6.3,5.5,10.4,200.8,75.8,47,263,92,7.9,5.4,4.6,2.53
13,Cincinnati Bengals,16,313,520,60.2,3303,23,4.4,20,87,3.8,6.8,6.0,11.4,206.4,79.5,37,257,69,6.6,5.9,5.1,32.81
14,New York Jets,16,289,497,58.1,3312,21,4.2,19,81,3.8,7.1,6.2,12.2,207.0,78.3,37,220,81,6.9,6.2,5.4,-23.87
15,Chicago Bears,16,287,515,55.7,3340,23,4.5,17,86,3.3,6.8,6.2,12.2,208.8,78.1,35,173,97,6.4,6.1,5.5,38.73
16,Jacksonville Jaguars,16,306,497,61.6,3357,18,3.6,16,69,3.2,7.2,6.5,11.7,209.8,82.0,37,217,69,6.9,6.3,5.6,-43.99
17,New England Patriots,16,315,538,58.6,3400,18,3.3,20,73,3.7,6.9,5.9,11.8,212.5,75.3,45,311,64,7.7,5.8,4.9,18.97
18,Carolina Panthers,16,303,513,59.1,3478,18,3.5,26,97,5.1,7.2,5.6,12.2,217.4,72.0,34,225,69,6.2,6.4,4.9,-19.38
19,San Francisco 49ers,16,308,490,62.9,3486,27,5.5,9,79,1.8,7.5,7.8,11.9,217.9,96.5,29,194,76,5.6,6.7,7.0,-84.42
20,Detroit Lions,16,328,535,61.3,3514,29,5.4,14,80,2.6,7.0,6.9,11.4,219.6,89.4,38,222,70,6.6,6.1,6.0,-50.26
21,Dallas Cowboys,16,310,502,61.8,3521,31,6.2,13,72,2.6,7.4,7.5,12.0,220.1,94.2,33,197,59,6.2,6.6,6.6,-84.59
22,Atlanta Falcons,16,328,517,63.4,3526,19,3.7,19,80,3.7,7.4,6.5,11.7,220.4,82.8,48,312,80,8.5,6.2,5.4,1.56
23,Seattle Seahawks,16,340,559,60.8,3590,24,4.3,23,89,4.1,6.8,5.8,11.2,224.4,78.3,36,218,60,6.1,6.0,5.1,-8.40
24,Houston Texans,16,344,530,64.9,3615,32,6.0,22,103,4.2,7.1,6.5,11.0,225.9,88.7,24,161,60,4.3,6.5,5.9,-33.44
25,Green Bay Packers,16,314,518,60.6,3663,33,6.4,8,68,1.5,7.6,8.2,12.6,228.9,99.1,40,280,75,7.2,6.6,7.1,-82.92
26,Tennessee Titans,16,333,524,63.5,3807,29,5.5,18,75,3.4,7.7,7.2,12.1,237.9,91.2,32,220,61,5.8,6.8,6.4,-68.43
27,New Orleans Saints,16,324,545,59.4,3888,24,4.4,13,68,2.4,7.5,7.3,12.6,243.0,87.7,37,207,60,6.4,6.7,6.5,-71.80
