Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1,Tampa Bay Buccaneers,16,297,490,60.6,2725,18,3.7,16,68,3.3,6.0,5.2,9.9,170.3,76.2,33,207,57,46,6.3,5.2,4.5,34.36
2,Indianapolis Colts,16,325,498,65.3,2764,16,3.2,22,64,4.4,5.9,4.5,9.0,172.8,73.3,28,162,65,63,5.3,5.3,4.0,27.44
3,Pittsburgh Steelers,16,292,536,54.5,2824,22,4.1,11,75,2.1,5.7,5.6,10.5,176.5,76.5,36,243,88,60,6.3,4.9,4.8,47.45
4,Miami Dolphins,16,242,409,59.2,3019,28,6.8,14,56,3.4,7.8,7.6,13.2,188.7,92.4,30,167,60,60,6.8,6.9,6.7,-85.79
5,Kansas City Chiefs,16,276,462,59.7,3022,17,3.7,14,75,3.0,7.1,6.5,11.9,188.9,81.0,37,252,62,88,7.4,6.1,5.5,14.20
6,New England Patriots,16,314,526,59.7,3041,23,4.4,19,75,3.6,6.4,5.7,10.8,190.1,78.1,47,340,97,62,8.2,5.3,4.6,56.58
7,Denver Broncos,16,279,458,60.9,3094,25,5.5,14,71,3.1,7.2,6.9,11.8,193.4,88.3,33,203,48,61,6.7,6.3,6.0,-69.51
8,Oakland Raiders,16,261,439,59.5,3132,17,3.9,18,69,4.1,7.6,6.5,12.7,195.8,78.9,27,186,45,64,5.8,6.7,5.7,-5.63
9,New York Jets,16,289,470,61.5,3154,18,3.8,15,70,3.2,7.2,6.5,11.6,197.1,82.6,29,208,62,51,5.8,6.3,5.7,-47.21
10,Tennessee Titans,16,349,569,61.3,3187,21,3.7,22,89,3.9,6.0,5.0,9.8,199.2,74.5,40,241,116,82,6.6,5.2,4.3,49.70
11,New York Giants,16,306,523,58.5,3317,24,4.6,15,75,2.9,7.0,6.6,12.0,207.3,83.4,53,349,103,97,9.2,5.8,5.4,-15.17
12,Green Bay Packers,16,295,534,55.2,3366,23,4.3,19,73,3.6,6.7,6.0,12.1,210.4,75.6,36,218,82,69,6.3,5.9,5.2,1.73
13,Dallas Cowboys,16,342,581,58.9,3409,19,3.3,19,84,3.3,6.4,5.6,10.9,213.1,75.1,46,319,91,68,7.3,5.4,4.7,0.82
14,San Diego Chargers,16,338,555,60.9,3412,20,3.6,30,96,5.4,6.6,4.9,10.9,213.3,70.0,42,272,71,69,7.0,5.7,4.1,38.58
15,Jacksonville Jaguars,16,319,543,58.7,3416,20,3.7,20,66,3.7,6.7,5.8,11.5,213.5,76.1,37,244,72,70,6.4,5.9,5.0,-0.42
16,Washington Redskins,16,351,602,58.3,3424,20,3.3,14,84,2.3,6.0,5.6,10.3,214.0,77.1,33,198,65,53,5.2,5.4,5.0,26.35
17,Carolina Panthers,16,337,537,62.8,3426,22,4.1,14,72,2.6,6.7,6.4,10.7,214.1,85.1,23,177,48,71,4.1,6.1,5.8,-40.45
18,Philadelphia Eagles,16,312,539,57.9,3449,16,3.0,11,61,2.0,6.9,6.5,11.8,215.6,80.3,37,244,61,91,6.4,6.0,5.7,-31.20
19,Seattle Seahawks,16,333,568,58.6,3505,15,2.6,20,78,3.5,6.7,5.6,11.4,219.1,73.0,45,303,91,78,7.3,5.7,4.7,38.09
20,Baltimore Ravens,16,293,490,59.8,3557,27,5.5,17,92,3.5,7.6,7.2,12.8,222.3,87.6,32,183,71,79,6.1,6.8,6.4,-73.88
21,St. Louis Rams,16,318,523,60.8,3613,25,4.8,18,73,3.4,7.4,6.8,12.1,225.8,85.0,31,234,80,76,5.6,6.5,6.0,-67.15
22,San Francisco 49ers,16,345,543,63.5,3643,24,4.4,12,63,2.2,7.0,6.9,11.1,227.7,89.9,31,183,57,74,5.4,6.3,6.2,-51.51
23,Atlanta Falcons,16,336,536,62.7,3655,27,5.0,16,73,3.0,7.1,6.8,11.3,228.4,88.2,25,146,43,60,4.5,6.5,6.2,-51.00
24,Cleveland Browns,16,340,578,58.8,3681,29,5.0,17,89,2.9,6.7,6.4,11.4,230.1,83.4,28,186,72,47,4.6,6.1,5.8,-48.29
25,Houston Texans,16,361,546,66.1,3682,25,4.6,11,78,2.0,7.1,7.1,10.7,230.1,93.6,31,196,52,58,5.4,6.4,6.4,-70.59
26,Cincinnati Bengals,16,353,540,65.4,3687,29,5.4,19,82,3.5,7.1,6.6,10.8,230.4,89.2,22,128,76,59,3.9,6.6,6.1,-68.42
27,Chicago Bears,16,343,541,63.4,3708,19,3.5,16,64,3.0,7.3,6.7,11.5,231.8,84.7,41,245,73,85,7.0,6.4,5.8,-15.76
28,Arizona Cardinals,16,361,570,63.3,3716,26,4.6,18,67,3.2,6.9,6.4,11.0,232.3,85.8,36,242,68,68,5.9,6.1,5.7,-5.34
29,Buffalo Bills,16,354,567,62.4,3814,19,3.4,18,83,3.2,7.0,6.2,11.2,238.4,81.1,26,144,58,71,4.4,6.4,5.7,-72.72
30,New Orleans Saints,16,327,524,62.4,3924,32,6.1,13,74,2.5,7.9,8.0,12.6,245.3,96.9,32,198,66,60,5.8,7.1,7.2,-67.34
31,Detroit Lions,16,422,602,70.1,4131,32,5.3,17,60,2.8,7.3,7.1,10.4,258.2,96.8,37,256,93,75,5.8,6.5,6.3,-94.88
32,Minnesota Vikings,16,415,646,64.2,4225,22,3.4,15,76,2.3,7.0,6.6,10.8,264.1,86.3,38,275,74,98,5.6,6.2,5.8,-44.57
,Avg Team,,325.8,532.7,61.2,3428.8,22.5,4.2,16.7,74.2,3.1,6.4,5.9,10.5,214.3,82.6,34.4,223.4,70.8,69.2,6.1,6.05,5.5,-21.6
,League Total,,10425,17045,61.2,109722,720,4.2,534,2375,3.1,6.4,5.9,10.5,214.3,82.6,1102,7149,2267,2213,6.1,6.05,5.5,
,Avg Tm/G,,20.4,33.3,61.2,214.3,1.4,4.2,1.0,4.6,3.1,6.4,5.9,10.5,214.3,82.6,2.2,14.0,4.4,4.3,6.1,6.05,5.5,
