Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
1,Green Bay Packers,16,252,430,58.6,2680,22,5.1,10,70,2.3,6.7,6.7,11.4,167.5,86.2,35,196,71,7.5,5.8,5.7,-11.63
2,New York Jets,16,284,463,61.3,2755,17,3.7,21,64,4.5,6.4,5.1,10.4,172.2,73.1,30,193,58,6.1,5.6,4.4,11.39
3,New Orleans Saints,16,241,418,57.7,2849,20,4.8,10,66,2.4,7.2,7.1,12.5,178.1,86.2,25,165,73,5.6,6.4,6.3,-63.18
4,Cleveland Browns,16,279,471,59.2,2867,19,4.0,15,71,3.2,6.4,5.8,10.8,179.2,78.2,23,142,63,4.7,5.8,5.2,-4.18
5,Chicago Bears,16,313,550,56.9,2872,10,1.8,24,95,4.4,5.7,4.1,10.1,179.5,61.2,41,275,98,6.9,4.9,3.4,131.68
6,Tampa Bay Buccaneers,16,275,476,57.8,2929,15,3.2,17,81,3.6,6.6,5.7,11.5,183.1,73.5,36,229,69,7.0,5.7,4.8,23.60
7,Jacksonville Jaguars,16,285,482,59.1,2946,22,4.6,19,80,3.9,6.7,5.8,11.3,184.1,78.0,47,277,81,8.9,5.6,4.8,18.35
8,Baltimore Ravens,16,296,525,56.4,2958,18,3.4,11,70,2.1,6.1,5.9,10.9,184.9,77.4,42,270,61,7.4,5.2,5.0,27.55
9,Carolina Panthers,16,305,528,57.8,3057,15,2.8,23,95,4.4,6.3,5.0,11.0,191.1,68.0,45,294,71,7.9,5.3,4.1,50.51
10,Washington Redskins,16,291,535,54.4,3081,15,2.8,16,88,3.0,6.2,5.4,11.4,192.6,70.1,35,237,65,6.1,5.4,4.7,32.68
11,Dallas Cowboys,16,271,495,54.7,3083,18,3.6,15,84,3.0,6.7,6.1,12.2,192.7,75.1,37,236,58,7.0,5.8,5.2,43.24
12,Arizona Cardinals,16,301,488,61.7,3097,17,3.5,15,69,3.1,6.8,6.1,11.0,193.6,80.6,37,217,88,7.0,5.9,5.3,9.80
13,Detroit Lions,16,295,487,60.6,3118,19,3.9,19,70,3.9,6.8,5.8,11.2,194.9,77.6,31,187,73,6.0,6.0,5.1,-15.69
14,Atlanta Falcons,16,320,526,60.8,3137,18,3.4,16,71,3.0,6.5,5.8,10.6,196.1,78.4,37,257,62,6.6,5.6,4.9,21.73
15,Indianapolis Colts,16,343,509,67.4,3151,17,3.3,18,72,3.5,6.8,5.9,10.1,196.9,83.0,46,318,69,8.3,5.7,4.8,31.96
16,Pittsburgh Steelers,16,315,549,57.4,3168,15,2.7,15,84,2.7,6.3,5.7,11.0,198.0,74.0,47,312,85,7.9,5.3,4.7,24.79
17,Tennessee Titans,16,296,470,63.0,3216,33,7.0,9,62,1.9,7.4,7.9,11.7,201.0,100.7,41,246,86,8.0,6.3,6.8,-88.65
18,Oakland Raiders,16,296,486,60.9,3243,18,3.7,5,68,1.0,7.2,7.4,11.8,202.7,90.7,36,238,63,6.9,6.2,6.5,-87.57
19,Buffalo Bills,16,314,503,62.4,3291,19,3.8,17,77,3.4,7.1,6.3,11.3,205.7,82.1,38,269,71,7.0,6.1,5.4,-39.09
20,Miami Dolphins,16,323,549,58.8,3307,23,4.2,14,84,2.6,6.7,6.4,11.4,206.7,82.4,49,375,81,8.2,5.5,5.2,-38.83
21,Philadelphia Eagles,16,297,503,59.0,3323,24,4.8,17,129,3.4,7.0,6.4,11.8,207.7,82.2,29,184,79,5.5,6.2,5.7,-31.82
22,Minnesota Vikings,16,319,533,59.8,3332,23,4.3,24,86,4.5,6.6,5.5,11.1,208.3,75.2,34,207,62,6.0,5.9,4.8,-32.59
23,St. Louis Rams,16,314,507,61.9,3424,26,5.1,13,64,2.6,7.1,7.0,11.5,214.0,89.8,41,195,91,7.5,6.2,6.1,-43.12
24,Houston Texans,16,304,469,64.8,3521,24,5.1,7,72,1.5,7.9,8.3,12.3,220.1,100.0,37,206,75,7.3,7.0,7.3,-123.25
25,Seattle Seahawks,16,331,571,58.0,3559,18,3.2,16,97,2.8,6.8,6.1,11.7,222.4,77.4,50,302,84,8.1,5.7,5.2,-29.10
26,Cincinnati Bengals,16,324,519,62.4,3569,21,4.0,31,76,6.0,7.2,5.3,11.6,223.1,72.8,28,180,68,5.1,6.5,4.7,-35.33
27,New York Giants,16,329,580,56.7,3584,20,3.4,17,88,2.9,6.6,6.0,11.7,224.0,76.3,41,268,87,6.6,5.8,5.2,2.28
28,San Diego Chargers,16,338,567,59.6,3599,20,3.5,10,94,1.8,6.9,6.8,11.5,224.9,84.7,46,289,65,7.5,5.9,5.8,-43.81
29,Denver Broncos,16,344,613,56.1,3643,20,3.3,20,108,3.3,6.3,5.4,11.1,227.7,72.2,28,190,61,4.4,5.7,4.9,23.39
30,Kansas City Chiefs,16,325,559,58.1,3679,25,4.5,16,90,2.9,6.9,6.5,11.9,229.9,82.3,29,183,61,4.9,6.3,5.9,-38.72
31,New England Patriots,16,296,527,56.2,3703,25,4.7,10,68,1.9,7.4,7.5,13.3,231.4,87.8,33,223,63,5.9,6.6,6.7,-74.04
32,San Francisco 49ers,16,374,576,64.9,4427,28,4.9,16,93,2.8,8.0,7.7,12.4,276.7,94.2,28,193,70,4.6,7.3,7.1,-129.42
,Avg Team,,305.9,514.5,59.5,3255.3,20.1,3.9,15.8,80.8,3.1,6.3,5.7,10.6,203.5,80.1,36.9,236.0,72.3,6.7,5.90,5.3,-14.9
,League Total,,9790,16464,59.5,104168,644,3.9,506,2586,3.1,6.3,5.7,10.6,203.5,80.1,1182,7553,2312,6.7,5.90,5.3,
,Avg Tm/G,,19.1,32.2,59.5,203.5,1.3,3.9,1.0,5.1,3.1,6.3,5.7,10.6,203.5,80.1,2.3,14.8,4.5,6.7,5.90,5.3,
