Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
19,San Francisco 49ers,16,332,567,58.6,3383,18,3.2,24,82,4.2,6.4,5.1,10.9,211.4,70.3,32,220,73,5.3,5.6,4.4,10.45
20,San Diego Chargers,16,317,535,59.3,3400,24,4.5,19,74,3.6,6.8,6.1,11.4,212.5,79.8,41,218,81,7.1,5.9,5.3,-30.53
21,New York Giants,16,298,521,57.2,3430,25,4.8,15,76,2.9,7.2,6.9,12.6,214.4,83.7,46,320,102,8.1,6.0,5.7,-13.47
22,Jacksonville Jaguars,16,354,544,65.1,3459,13,2.4,12,72,2.2,6.9,6.4,10.6,216.2,83.9,43,298,99,7.3,5.9,5.4,-15.19
23,Seattle Seahawks,16,339,563,60.2,3485,20,3.6,14,78,2.5,6.6,6.2,11.0,217.8,81.4,38,248,67,6.3,5.8,5.4,-7.80
24,New England Patriots,16,299,546,54.8,3497,15,2.7,22,87,4.0,6.8,5.6,12.5,218.6,68.6,41,234,77,7.0,6.0,4.8,50.60
25,Detroit Lions,16,312,514,60.7,3528,30,5.8,16,72,3.1,7.3,7.1,12.0,220.5,89.6,31,224,76,5.7,6.5,6.3,-98.78
26,Arizona Cardinals,16,337,556,60.6,3598,26,4.7,17,73,3.1,6.7,6.3,11.1,224.9,83.4,19,128,61,3.3,6.3,5.8,-43.52
27,Indianapolis Colts,16,311,509,61.1,3600,30,5.9,15,67,2.9,7.6,7.4,12.4,225.0,91.9,40,257,73,7.3,6.6,6.4,-89.78
28,Carolina Panthers,16,306,510,60.0,3642,25,4.9,24,81,4.7,7.5,6.3,12.4,227.6,79.9,26,167,77,4.9,6.8,5.7,-52.49
29,Chicago Bears,16,355,602,59.0,3665,12,2.0,20,100,3.3,6.6,5.5,11.2,229.1,71.4,48,294,88,7.4,5.6,4.6,76.65
30,Atlanta Falcons,16,331,515,64.3,3902,29,5.6,18,70,3.5,8.0,7.6,12.5,243.9,93.3,37,230,82,6.7,7.1,6.7,-90.99
31,Tennessee Titans,16,328,559,58.7,4084,27,4.8,13,81,2.3,7.6,7.5,13.0,255.3,89.1,32,175,94,5.4,6.9,6.8,-132.07
,Avg Team,,307.8,522.0,59.0,3292.9,20.5,3.9,17.6,81.4,3.4,6.3,5.6,10.7,205.8,78.5,38.6,243.8,83.1,6.9,5.87,5.2,-3.5
,League Total,,9542,16181,59.0,102080,635,3.9,545,2522,3.4,6.3,5.6,10.7,205.8,78.5,1196,7559,2577,6.9,5.87,5.2,
,Avg Tm/G,,19.2,32.6,59.0,205.8,1.3,3.9,1.1,5.1,3.4,6.3,5.6,10.7,205.8,78.5,2.4,15.2,5.2,6.9,5.87,5.2,
