Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,TFL,Sk%,NY/A,ANY/A,EXP
1,Miami Dolphins,16,262,467,56.1,2829,22,4.7,17,85,3.6,6.6,5.9,11.7,176.8,76.7,37,230,63,7.3,5.6,5.0,24.95
2,Philadelphia Eagles,16,288,517,55.7,2864,13,2.5,14,108,2.7,6.1,5.4,10.9,179.0,71.0,45,283,97,8.0,5.1,4.4,62.51
3,Dallas Cowboys,16,287,489,58.7,2889,20,4.1,9,70,1.8,6.2,6.2,10.5,180.6,82.7,24,130,63,4.7,5.6,5.6,-36.82
4,Pittsburgh Steelers,16,295,525,56.2,2942,19,3.6,16,89,3.0,6.3,5.7,11.2,183.9,74.5,55,367,130,9.5,5.1,4.5,42.51
5,Tampa Bay Buccaneers,16,273,493,55.4,2951,20,4.1,28,100,5.7,6.5,4.8,11.8,184.4,65.3,42,272,84,7.9,5.5,3.9,39.43
6,Washington Redskins,16,262,473,55.4,2977,19,4.0,23,80,4.9,6.6,5.2,11.9,186.1,68.8,25,139,65,5.0,6.0,4.7,40.38
7,New York Jets,16,313,516,60.7,2999,14,2.7,20,78,3.9,6.1,4.9,10.1,187.4,71.1,33,171,67,6.0,5.5,4.3,53.78
8,Baltimore Ravens,16,321,555,57.8,3035,16,2.9,16,96,2.9,6.0,5.3,10.4,189.7,72.8,45,290,92,7.5,5.1,4.4,63.91
9,Oakland Raiders,16,290,528,54.9,3083,16,3.0,17,80,3.2,6.2,5.4,11.3,192.7,70.5,41,204,81,7.2,5.4,4.6,17.93
10,Cleveland Browns,16,309,552,56.0,3089,18,3.3,33,130,6.0,6.1,4.1,10.9,193.1,60.2,43,288,85,7.2,5.2,3.3,100.88
11,St. Louis Rams,16,314,541,58.0,3097,16,3.0,21,81,3.9,6.2,5.0,10.7,193.6,69.9,45,251,98,7.7,5.3,4.2,97.16
12,Cincinnati Bengals,16,311,512,60.7,3157,23,4.5,13,72,2.5,6.8,6.5,11.2,197.3,85.4,48,320,98,8.6,5.6,5.4,-24.13
13,Buffalo Bills,16,284,453,62.7,3159,23,5.1,11,63,2.4,7.5,7.4,11.9,197.4,92.2,34,219,79,7.0,6.5,6.4,-52.87
14,Kansas City Chiefs,16,296,491,60.3,3164,19,3.9,13,57,2.6,6.9,6.5,11.5,197.8,83.1,31,239,82,5.9,6.1,5.7,-33.01
15,Green Bay Packers,16,341,583,58.5,3168,14,2.4,20,99,3.4,6.0,4.9,10.3,198.0,69.6,52,337,81,8.2,5.0,4.0,89.32
16,Denver Broncos,16,308,515,59.8,3282,23,4.5,22,87,4.3,6.9,5.9,11.6,205.1,77.8,39,279,96,7.0,5.9,5.0,-22.46
17,New Orleans Saints,16,278,452,61.5,3355,30,6.6,15,64,3.3,8.1,8.0,13.2,209.7,95.5,53,323,89,10.5,6.6,6.5,-49.90
18,Minnesota Vikings,16,291,478,60.9,3367,16,3.3,8,70,1.7,7.5,7.4,12.3,210.4,88.1,30,204,77,5.9,6.6,6.5,-83.74
