Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Patrick Mahomes,KAN,23,1,16,16,383,580,5097,50,12,60,272,2,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,MahoPa00
QB,Drew Brees,NOR,39,17,15,15,364,489,3992,32,5,31,22,4,1,1,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,BreeDr00
RB,Todd Gurley,LAR,24,3,14,14,0,0,0,0,0,256,1251,17,59,580,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,GurlTo01
RB,Saquon Barkley,NYG,21,Rook,16,16,0,0,0,0,0,261,1307,11,91,721,4,0,0.0,0,PFF: 1st Tm SN: 1st Tm,BarkSa00
RB,Ezekiel Elliott,DAL,23,2,15,15,0,0,0,0,0,304,1434,6,77,567,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,ElliEz00
RB,Phillip Lindsay,DEN,24,Rook,15,8,0,0,0,0,0,192,1037,9,35,241,1,1,0.0,0,FW: 1st Tm All-Conf.,LindPh00
RB,Derrick Henry,TEN,24,2,16,12,2,3,14,0,0,215,1059,12,15,99,0,0,0.0,0,FW: 1st Tm All-Conf.,HenrDe00
WR,DeAndre Hopkins,HOU,26,5,16,16,0,1,0,0,0,1,-7,0,115,1572,11,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,HopkDe00
WR,Michael Thomas,NOR,25,2,16,16,0,0,0,0,0,0,0,0,125,1405,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,ThomMi05
WR,Tyreek Hill,KAN,24,2,16,16,0,0,0,0,0,22,151,1,87,1479,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm PFF: 1st Tm,HillTy00
WR,Julio Jones,ATL,29,7,16,16,0,0,0,0,0,2,12,0,113,1677,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 2nd Tm,JoneJu02
WR,Keenan Allen,LAC,26,5,16,14,0,0,0,0,0,9,75,0,97,1196,6,0,0.0,0,PFF: 2nd Tm,AlleKe00
TE,Travis Kelce,KAN,29,5,16,16,0,0,0,0,0,0,0,0,103,1336,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,KelcTr00
TE,George Kittle,SFO,25,1,16,16,0,0,0,0,0,1,10,0,88,1377,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,KittGe00
TE,Zach Ertz,PHI,28,5,16,16,0,0,0,0,0,0,0,0,116,1163,8,0,0.0,0,SN: 1st Tm,ErtzZa00
FLEX,Christian McCaffrey,CAR,22,1,16,16,1,1,50,1,0,219,1098,7,107,867,6,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,McCaCh01
FLEX,Alvin Kamara,NOR,23,1,15,13,0,0,0,0,0,194,883,14,81,709,4,0,0.0,0,PFF: 2nd Tm,KamaAl00
LT,Duane Brown,SEA,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,BrowDu20
OT,Tyron Smith,DAL,28,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm,SmitTy00
T,Mitchell Schwartz,KAN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,SchwMi00
T,David Bakhtiari,GNB,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,BakhDa00
T,Terron Armstead,NOR,27,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,ArmsTe00
T,Taylor Lewan,TEN,27,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,LewaTa00
LG,Joel Bitonio,CLE,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,BitoJo00
G,Quenton Nelson,IND,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,NelsQu00
G,Zack Martin,DAL,28,4,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MartZa00
G,Marshal Yanda,BAL,34,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,YandMa20
G,Brandon Brooks,PHI,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,BrooBr00
C,Jason Kelce,PHI,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,KelcJa00
C,Maurkice Pouncey,PIT,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,PounMa20
C,Rodney Hudson,OAK,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,HudsRo00
RG,Shaq Mason,NWE,25,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,MasoSh01
RT,Ryan Ramczyk,NOR,24,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,RamcRy00
DE,J.J. Watt,HOU,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,47,16.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WattJ.00
DE,Danielle Hunter,MIN,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,51,14.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,HuntDa01
DE,Cameron Jordan,NOR,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,35,12.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,JordCa00
DE,Myles Garrett,CLE,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,35,13.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm,GarrMy00
DE,DeMarcus Lawrence,DAL,26,4,16,15,0,0,0,0,0,0,0,0,0,0,0,42,10.5,1,FW: 1st Tm All-Conf.,LawrDe00
DE,Trey Flowers,NWE,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,32,7.5,0,PFF: 2nd Tm,FlowTr00
DT,Fletcher Cox,PHI,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,33,10.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,CoxxFl00
DT,Aaron Donald,LAR,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,41,20.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DonaAa00
DT,Chris Jones,KAN,24,2,16,11,0,0,0,0,0,0,0,0,0,0,0,35,15.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,JoneCh09
DT,Geno Atkins,CIN,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,24,10.0,0,FW: 1st Tm All-Conf.,AtkiGe99
DT,Akiem Hicks,CHI,29,6,16,16,0,0,0,0,0,1,1,1,0,0,0,41,7.5,0,PFF: 2nd Tm,HickAk00
OLB,Khalil Mack,CHI,27,4,14,13,0,0,0,0,0,0,0,0,0,0,0,37,12.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MackKh00
OLB,Von Miller,DEN,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,29,14.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm AP: 2nd Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MillVo00
OLB,Shaquille Leonard,IND,23,Rook,15,15,0,0,0,0,0,0,0,0,0,0,0,111,7.0,2,FW: 1st Tm All-Conf. AP: 1st Tm,LeonDa00
OLB,Ryan Kerrigan,WAS,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,30,13.0,0,FW: 1st Tm All-Conf.,KerrRy00
MLB,Bobby Wagner,SEA,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,84,1.0,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,WagnBo00
