Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Peyton Manning,IND,32,10,16,16,371,555,4002,27,12,20,21,1,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,MannPe00
QB,Drew Brees,NOR,29,7,16,16,413,635,5069,34,17,22,-1,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,BreeDr00
RB,Michael Turner,ATL,26,4,16,16,0,0,0,0,0,376,1699,17,6,41,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,TurnMi00
RB,Adrian Peterson,MIN,23,1,16,15,0,0,0,0,0,363,1760,10,21,125,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PeteAd01
RB,Chris Johnson,TEN,23,Rook,15,14,0,0,0,0,0,251,1228,9,43,260,1,0,0.0,0,FW: 1st Tm All-Conf.,JohnCh04
RB,Thomas Jones,NYJ,30,8,16,14,0,0,0,0,0,290,1312,13,36,207,2,0,0.0,0,FW: 1st Tm All-Conf.,JoneTh00
RB,DeAngelo Williams,CAR,25,2,16,16,0,0,0,0,0,273,1515,18,22,121,2,0,0.0,0,AP: 2nd Tm,WillDe02
RB,Clinton Portis,WAS,27,6,16,16,0,0,0,0,0,342,1487,9,28,218,0,0,0.0,0,AP: 2nd Tm,PortCl00
FB,Le'Ron McClain,BAL,24,1,16,16,0,0,0,0,0,232,902,10,19,123,1,0,0.0,0,AP: 1st Tm,McClLe00
FB,Madison Hedgecock,NYG,27,3,16,10,0,0,0,0,0,1,0,0,8,52,1,0,0.0,0,AP: 2nd Tm,HedgMa00
WR,Andre Johnson,HOU,27,5,16,16,0,0,0,0,0,0,0,0,115,1575,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JohnAn02
WR,Larry Fitzgerald,ARI,25,4,16,16,0,0,0,0,0,0,0,0,96,1431,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,FitzLa00
WR,Wes Welker,NWE,27,4,16,14,0,0,0,0,0,3,26,0,111,1165,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WelkWe00
