Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Matthew Stafford,LAR,37,16,17,17,388,597,4707,46,8,29,1,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,StafMa00
QB,Drake Maye,NWE,23,1,17,17,354,492,4394,31,8,103,450,4,1,2,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,MayeDr00
RB,Christian McCaffrey,SFO,29,8,17,17,0,1,0,0,0,311,1202,10,102,924,7,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,McCaCh01
RB,Bijan Robinson,ATL,23,2,17,17,0,0,0,0,0,287,1478,7,79,820,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm AP: 1st Tm PFF: 1st Tm,RobiBi01
RB,James Cook,BUF,26,3,17,17,0,0,0,0,0,309,1621,12,33,291,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,CookJa01
RB,Jonathan Taylor,IND,26,5,17,17,0,0,0,0,0,323,1585,18,46,378,2,0,0.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,TaylJo02
RB,De'Von Achane,MIA,24,2,16,16,0,0,0,0,0,238,1350,8,67,488,4,0,0.0,0,PFF: 2nd Tm,AchaDe00
FB,Reggie Gilliam,BUF,28,5,17,2,0,0,0,0,0,2,4,0,2,24,0,6,0.0,0,PFF: 1st Tm,GillRe00
FB,Kyle Juszczyk,SFO,34,12,17,17,0,0,0,0,0,2,-3,0,24,213,2,0,0.0,0,AP: 1st Tm,JuszKy00
FB,Patrick Ricard,BAL,31,8,11,5,0,0,0,0,0,1,3,0,1,8,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,RicaPa00
WR,Jaxon Smith-Njigba,SEA,23,2,17,17,0,0,0,0,0,7,36,0,119,1793,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,SmitJa06
WR,Puka Nacua,LAR,24,2,16,15,0,0,0,0,0,10,105,1,129,1715,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,NacuPu00
WR,Ja'Marr Chase,CIN,25,4,16,16,0,0,0,0,0,3,14,0,125,1412,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 2nd Tm,ChasJa00
WR,Amon-Ra St. Brown,DET,26,4,17,17,0,0,0,0,0,3,9,0,117,1401,11,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,StxxAm00
WR,Nico Collins,HOU,26,4,15,15,0,0,0,0,0,2,15,1,71,1117,6,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,CollNi00
WR,George Pickens,DAL,24,3,17,15,0,0,0,0,0,0,0,0,93,1429,9,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,PickGe00
WR,Chris Olave,NOR,25,3,16,16,0,1,0,0,1,1,-3,0,100,1163,9,0,0.0,0,AP: 2nd Tm,OlavCh00
TE,Trey McBride,ARI,26,3,17,17,0,0,0,0,0,0,0,0,126,1239,11,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,McBrTr01
TE,Travis Kelce,KAN,36,12,17,17,0,0,0,0,0,1,1,0,76,851,5,0,0.0,0,FW: 1st Tm All-Conf.,KelcTr00
TE,Kyle Pitts,ATL,25,4,17,17,0,0,0,0,0,0,0,0,88,928,5,0,0.0,0,AP: 2nd Tm,PittKy00
TE,George Kittle,SFO,32,8,11,11,0,0,0,0,0,1,-3,0,57,628,7,0,0.0,0,PFF: 2nd Tm,KittGe00
LT,Tristan Wirfs,TAM,26,5,12,12,0,0,0,0,0,0,0,0,1,2,1,0,0.0,0,PFF: 2nd Tm,WirfTr00
