Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Brett Favre,GNB,32,10,16,16,314,510,3921,32,15,38,56,1,0,0,0,,0.0,0,AP: 2nd Tm,FavrBr00
TE,Ernie Conwell,STL,29,5,16,14,0,0,0,0,0,7,28,1,38,431,4,1,0.0,0,AP: 2nd Tm,ConwEr00
T,James Williams,CHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,WillJa03
T,Lincoln Kennedy,OAK,30,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,KennLi00
G,Adam Timmerman,STL,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,TimmAd20
C,Jeff Hartings,PIT,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,HartJe55
DE,Jason Taylor,MIA,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,48,8.5,1,AP: 2nd Tm,TaylJa03
DT,Ted Washington,CHI,33,10,16,15,0,0,0,0,0,0,0,0,0,0,0,32,1.5,0,AP: 1st Tm SN: 1st Tm,WashTe01
DT,Trevor Pryce,DEN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,34,7.0,0,AP: 2nd Tm,PrycTr00
ILB,Kendrell Bell,PIT,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,69,9.0,0,AP: 2nd Tm,BellKe20
ILB,Zach Thomas,MIA,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,95,3.0,2,AP: 2nd Tm,ThomZa01
ILB,Jeremiah Trotter,PHI,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,93,3.5,2,AP: 2nd Tm,TrotJe00
CB,Ronde Barber,TAM,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,59,1.0,10,AP: 1st Tm FW: 1st Tm,BarbRo00
CB,Charles Woodson,OAK,25,3,16,15,0,0,0,0,0,0,0,0,0,0,0,40,2.0,1,FW: 1st Tm All-Conf. SN: 1st Tm,WoodCh00
S,Mike Brown,CHI,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,56,3.0,5,AP: 1st Tm,BrowMi99
S,Sammy Knight,NOR,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,80,1.0,6,AP: 2nd Tm,KnigSa00
C,Kevin Mawae,NYJ,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MawaKe00
LLB,Jamir Miller,CLE,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,83,13.0,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MillJa01
RDE,John Abraham,NYJ,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,57,13.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,AbraJo00
LT,Orlando Pace,STL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PaceOr00
RDT,Warren Sapp,TAM,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,28,6.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SappWa00
