Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
RB,LaDainian Tomlinson,SDG,25,3,15,15,1,2,38,0,0,339,1335,17,53,441,1,0,0.0,0,AP: 1st Tm,TomlLa00
FB,William Henderson,GNB,33,9,16,8,0,0,0,0,0,0,0,0,34,239,3,9,0.0,0,AP: 1st Tm,HendWi00
FB,Tony Richardson,KAN,33,9,16,16,0,0,0,0,0,12,56,0,19,118,0,0,0.0,0,AP: 2nd Tm,RichTo00
WR,Hines Ward,PIT,28,6,16,16,0,0,0,0,0,7,25,1,80,1004,4,0,0.0,0,AP: 2nd Tm,WardHi00
TE,Tony Gonzalez,KAN,28,7,16,16,0,0,0,0,0,1,5,0,102,1258,7,0,0.0,0,AP: 2nd Tm,GonzTo00
T,Willie Anderson,CIN,29,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm,AndeWi00
G,Brian Waters,KAN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm FW: 1st Tm SN: 1st Tm,WateBr55
C,Jeff Hartings,PIT,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 1st Tm SN: 1st Tm,HartJe55
DE,Patrick Kerney,ATL,28,5,16,15,0,0,0,0,0,0,0,0,0,0,0,55,13.0,1,AP: 2nd Tm,KernPa99
DT,Jamal Williams,SDG,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,25,4.0,0,AP: 2nd Tm,WillJa99
DT,Shaun Rogers,DET,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,48,4.0,0,AP: 2nd Tm,RogeSh99
ILB,Ray Lewis,BAL,29,8,15,15,0,0,0,0,0,0,0,0,0,0,0,101,1.0,0,AP: 1st Tm SN: 1st Tm,LewiRa00
ILB,Tedy Bruschi,NWE,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,78,3.5,3,AP: 2nd Tm,BrusTe99
ILB,Donnie Edwards,SDG,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,106,1.0,5,AP: 2nd Tm,EdwaDo20
CB,Ronde Barber,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,84,3.0,3,AP: 1st Tm,BarbRo00
S,Rodney Harrison,NWE,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,96,3.0,2,AP: 2nd Tm,HarrRo01
P,Brad Maynard,CHI,30,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,AP: 2nd Tm,MaynBr20
P,Shane Lechler,OAK,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,LechSh20
RB,Curtis Martin,NYJ,31,9,16,16,0,0,0,0,0,371,1697,12,41,245,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MartCu00
WR,Terrell Owens,PHI,31,8,14,14,0,0,0,0,0,3,-5,0,77,1200,14,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,OwenTe00
