Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Steve McNair,TEN,30,8,14,14,250,400,3215,24,7,38,138,4,1,4,0,0,0.0,0,AP: 2nd Tm,McNaSt00
RB,LaDainian Tomlinson,SDG,24,2,16,16,1,1,21,1,0,313,1645,13,100,725,4,0,0.0,0,AP: 2nd Tm,TomlLa00
RB,Fred Beasley,SFO,29,5,16,11,0,0,0,0,0,17,24,0,19,184,1,,0.0,0,AP: 2nd Tm,BeasFr00
WR,Hines Ward,PIT,27,5,16,16,0,0,0,0,0,11,61,0,95,1163,10,0,0.0,0,AP: 2nd Tm,WardHi00
TE,Todd Heap,BAL,23,2,16,16,0,0,0,0,0,3,21,0,57,693,3,1,0.0,0,AP: 2nd Tm,HeapTo00
T,Willie Anderson,CIN,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,AndeWi00
DE,Simeon Rice,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,45,15.0,2,AP: 2nd Tm SN: 1st Tm,RiceSi00
OLB,Derrick Brooks,TAM,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,73,1.0,2,AP: 2nd Tm SN: 1st Tm,BrooDe00
ILB,Zach Thomas,MIA,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,85,1.0,3,AP: 1st Tm,ThomZa01
ILB,Tedy Bruschi,NWE,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,81,2.0,3,AP: 2nd Tm,BrusTe99
CB,Chris McAlister,BAL,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,33,0.0,3,AP: 1st Tm FW: 1st Tm,McAlCh00
P,Shane Lechler,OAK,27,3,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,AP: 1st Tm FW: 1st Tm,LechSh20
WR,Torry Holt,STL,27,4,16,15,0,0,0,0,0,1,5,0,117,1696,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HoltTo00
LT,Jonathan Ogden,BAL,29,7,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,OgdeJo00
