Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
RB,LaDainian Tomlinson,SDG,23,1,16,16,0,0,0,0,0,372,1683,14,79,489,1,,0.0,0,AP: 2nd Tm,TomlLa00
RB,Fred Beasley,SFO,28,4,16,14,0,0,0,0,0,26,75,0,22,152,1,0,0.0,0,AP: 2nd Tm,BeasFr00
WR,Eric Moulds,BUF,29,6,16,15,0,0,0,0,0,1,7,0,100,1292,10,1,0.0,0,AP: 2nd Tm,MoulEr00
WR,Jerry Rice,OAK,40,17,16,16,0,0,0,0,0,3,20,0,92,1211,7,0,0.0,0,AP: 2nd Tm,RiceJe00
T,Willie Roaf,KAN,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,RoafWi00
G,Ruben Brown,BUF,30,7,16,16,0,0,0,0,0,0,0,0,1,-6,0,0,0.0,0,AP: 2nd Tm,BrowRu00
C,Barret Robbins,OAK,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 1st Tm,RobbBa00
DE,Michael Strahan,NYG,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,57,11.0,0,AP: 2nd Tm,StraMi02
DT,Kris Jenkins,CAR,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,36,7.0,0,AP: 1st Tm,JenkKr00
DT,Chris Hovan,MIN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,38,5.5,0,AP: 2nd Tm,HovaCh20
OLB,Julian Peterson,SFO,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,78,2.0,1,AP: 2nd Tm,PeteJu00
ILB,Donnie Edwards,SDG,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,100,0.0,5,AP: 2nd Tm,EdwaDo20
ILB,Keith Brooking,ATL,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,111,0.0,2,AP: 2nd Tm,BrooKe00
CB,Ronde Barber,TAM,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,67,3.0,2,AP: 2nd Tm,BarbRo00
S,John Lynch,TAM,31,9,15,15,0,0,0,0,0,0,0,0,0,0,0,41,0.0,3,AP: 2nd Tm,LyncJo00
KR,Dante Hall,KAN,24,2,16,0,0,0,0,0,0,11,54,0,20,322,3,1,0.0,0,AP: 2nd Tm,HallDa00
P,Todd Sauerbrun,CAR,29,7,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SaueTo20
RB,Ricky Williams,MIA,25,3,16,16,0,0,0,0,0,383,1853,16,47,363,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,WillRi00
MLB,Brian Urlacher,CHI,24,2,16,16,0,1,0,0,0,0,0,0,0,0,0,117,4.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,UrlaBr00
RDE,Jason Taylor,MIA,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,46,18.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,TaylJa03
LCB,Patrick Surtain,MIA,26,4,14,14,0,0,0,0,0,0,0,0,0,0,0,40,1.5,6,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SurtPa00
RG,Will Shields,KAN,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,ShieWi00
RDT,Warren Sapp,TAM,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,43,7.5,2,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SappWa00
RDE,Simeon Rice,TAM,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,15.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,RiceSi00
ROLB,Joey Porter,PIT,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,61,9.0,4,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PortJo00
WR,Terrell Owens,SFO,29,6,14,14,0,0,0,0,0,7,79,1,100,1300,13,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,OwenTe00
LT,Jonathan Ogden,BAL,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,OgdeJo00
RLB,Derrick Brooks,TAM,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,88,1.0,5,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BrooDe00
FS,Brian Dawkins,PHI,29,6,16,16,0,0,0,0,0,0,0,0,1,57,1,66,3.0,2,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,DawkBr00
LG,Alan Faneca,PIT,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,FaneAl00
QB,Rich Gannon,OAK,37,15,16,16,418,618,4689,26,10,50,156,3,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,GannRi00
WR,Michael Lewis,NOR,31,1,16,0,0,0,0,0,0,1,15,0,8,200,0,12,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,LewiMi00
WR,Marvin Harrison,IND,30,6,16,16,0,0,0,0,0,2,10,0,143,1722,11,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HarrMa00
RB,Priest Holmes,KAN,29,5,14,14,0,1,0,0,0,313,1615,21,70,672,3,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HolmPr00
RDT,La'Roi Glover,DAL,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,39,6.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,GlovLa00
TE,Tony Gonzalez,KAN,26,5,16,16,0,0,0,0,0,0,0,0,63,773,7,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,GonzTo00
C,Kevin Mawae,NYJ,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,MawaKe00
K,Adam Vinatieri,NWE,30,6,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,vinatada01
WR,Santana Moss,NYJ,23,1,15,3,0,0,0,0,0,7,48,0,30,433,4,0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm SN: 1st Tm,MossSa00
FS,Rod Woodson,OAK,37,15,16,16,0,0,0,0,0,0,0,0,0,0,0,70,0.0,8,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,WoodRo01
FS,Darren Sharper,GNB,27,5,13,13,0,0,0,0,0,0,0,0,0,0,0,51,0.0,7,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,SharDa00
RCB,Bobby Taylor,PHI,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,47,0.0,5,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,TaylBo00
K,David Akers,PHI,28,4,16,0,0,0,0,0,0,1,10,0,0,0,0,2,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,akersdav01
LT,Tra Thomas,PHI,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,ThomTr00
LCB,Aaron Glenn,HOU,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,56,1.0,5,FW: 1st Tm All-Conf. SN: 1st Tm,GlenAa00
LCB,Troy Vincent,PHI,32,10,15,15,0,0,0,0,0,0,0,0,0,0,0,55,0.0,2,FW: 1st Tm All-Conf. AP: 1st Tm,VincTr00
MLB,Zach Thomas,MIA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,100,0.5,1,FW: 1st Tm All-Conf. AP: 1st Tm,ThomZa01
RT,Lincoln Kennedy,OAK,31,9,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,KennLi00
LT,Walter Jones,SEA,28,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,JoneWa00
TE,Jeremy Shockey,NYG,22,Rook,15,14,0,0,0,0,0,0,0,0,74,894,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,ShocJe00
RB,Fred McAfee,NOR,34,11,11,0,0,0,0,0,0,1,11,0,0,0,0,8,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,McAfFr00
WR,Hines Ward,PIT,26,4,16,16,0,0,0,0,0,12,142,0,112,1329,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WardHi00
P,Chris Hanson,JAX,26,3,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,HansCh20
RLB,Keith Bulluck,TEN,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,101,1.0,1,FW: 1st Tm All-Conf. AP: 2nd Tm,BullKe00
RG,Jermane Mayberry,PHI,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,MaybJe00
QB,Brett Favre,GNB,33,11,16,16,341,551,3658,27,16,25,73,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,FavrBr00
RDE,Hugh Douglas,PHI,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,45,12.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm,DougHu00
