Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Tom Brady,NWE,40,17,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BradTo00
QB,Carson Wentz,PHI,25,1,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WentCa00
QB,Matt Ryan,ATL,32,9,16,16,342,529,4095,20,12,32,143,0,0,0,0,0,0.0,0,PFF: 2nd Tm,RyanMa00
RB,Todd Gurley,LAR,23,2,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,GurlTo01
RB,Le'Veon Bell,PIT,25,4,15,15,0,0,0,0,0,321,1291,9,85,655,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm SN: 1st Tm,BellLe00
RB,Alvin Kamara,NOR,22,Rook,16,3,0,0,0,0,0,120,728,8,81,826,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,KamaAl00
RB,Kareem Hunt,KAN,22,Rook,16,16,0,0,0,0,0,272,1327,8,53,455,3,0,0.0,0,FW: 1st Tm All-Conf.,HuntKa00
WR,Antonio Brown,PIT,29,7,14,14,0,0,0,0,0,0,0,0,101,1533,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BrowAn04
WR,DeAndre Hopkins,HOU,25,4,15,15,0,0,0,0,0,0,0,0,96,1378,13,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,HopkDe00
WR,Julio Jones,ATL,28,6,16,16,0,0,0,0,0,1,15,0,88,1444,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,JoneJu02
WR,Michael Thomas,NOR,24,1,16,14,0,0,0,0,0,0,0,0,104,1245,5,1,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,ThomMi05
WR,Adam Thielen,MIN,27,3,16,16,0,0,0,0,0,1,11,0,91,1276,4,0,0.0,0,AP: 2nd Tm,ThieAd00
WR,Keenan Allen,LAC,25,4,16,15,0,0,0,0,0,2,9,0,102,1393,6,0,0.0,1,PFF: 2nd Tm,AlleKe00
TE,Rob Gronkowski,NWE,28,7,14,14,0,0,0,0,0,0,0,0,69,1084,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,GronRo00
TE,Travis Kelce,KAN,28,4,15,15,0,1,0,0,1,2,7,0,83,1038,8,0,0.0,0,AP: 2nd Tm SN: 1st Tm,KelcTr00
TE,Zach Ertz,PHI,27,4,14,13,0,0,0,0,0,0,0,0,74,824,8,0,0.0,0,FW: 1st Tm All-Conf.,ErtzZa00
TE,Hunter Henry,LAC,23,1,14,13,0,0,0,0,0,0,0,0,45,579,4,0,0.0,0,PFF: 2nd Tm,HenrHu00
