Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Drew Brees,NOR,27,5,16,16,356,554,4418,26,11,42,32,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BreeDr00
QB,Peyton Manning,IND,30,8,16,16,362,557,4397,31,9,23,36,4,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,MannPe00
RB,Larry Johnson,KAN,27,3,16,16,0,1,0,0,0,416,1789,17,41,410,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JohnLa00
RB,LaDainian Tomlinson,SDG,27,5,16,16,2,3,20,2,0,348,1815,28,56,508,3,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,TomlLa00
RB,Steven Jackson,STL,23,2,16,16,0,0,0,0,0,346,1528,13,90,806,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,JackSt00
RB,Frank Gore,SFO,23,1,16,16,0,0,0,0,0,312,1695,8,61,485,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,GoreFr00
FB,Lorenzo Neal,SDG,36,13,16,11,0,0,0,0,0,29,140,1,17,83,0,0,0.0,0,AP: 1st Tm,NealLo00
FB,Ovie Mughelli,BAL,26,3,16,8,0,0,0,0,0,12,50,0,21,182,2,11,0.0,0,AP: 2nd Tm,MughOv00
FB,Mike Karney,NOR,25,2,15,7,0,0,0,0,0,11,33,1,15,96,2,,0.0,0,AP: 2nd Tm,KarnMi00
WR,Chad Johnson,CIN,28,5,16,16,0,0,0,0,0,6,24,0,87,1369,7,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JohnCh01
WR,Marvin Harrison,IND,34,10,16,16,0,0,0,0,0,0,0,0,95,1366,12,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HarrMa00
WR,Torry Holt,STL,30,7,16,16,0,0,0,0,0,0,0,0,93,1188,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,HoltTo00
WR,Donald Driver,GNB,31,7,16,16,0,0,0,0,0,7,16,0,92,1295,8,0,0.0,0,FW: 1st Tm All-Conf.,DrivDo00
WR,Andre Johnson,HOU,25,3,16,16,0,0,0,0,0,3,14,0,103,1147,5,0,0.0,0,AP: 2nd Tm,JohnAn02
TE,Antonio Gates,SDG,26,3,16,16,0,0,0,0,0,0,0,0,71,924,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,GateAn00
TE,Alge Crumpler,ATL,29,5,16,16,0,0,0,0,0,0,0,0,56,780,8,0,0.0,0,FW: 1st Tm All-Conf.,CrumAl00
TE,Tony Gonzalez,KAN,30,9,15,15,0,0,0,0,0,0,0,0,73,900,5,0,0.0,0,AP: 2nd Tm,GonzTo00
T,Walter Jones,SEA,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,JoneWa00
T,Jammal Brown,NOR,25,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,BrowJa55
T,Jonathan Ogden,BAL,32,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,OgdeJo00
T,Willie Anderson,CIN,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,AndeWi00
G,Steve Hutchinson,MIN,29,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,HutcSt00
