Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Tom Brady,NWE,28,5,16,16,334,530,4110,26,14,27,89,1,0,0,0,,0.0,0,AP: 2nd Tm,BradTo00
RB,LaDainian Tomlinson,SDG,26,4,16,16,3,4,47,3,0,339,1462,18,51,370,2,0,0.0,0,AP: 2nd Tm SN: 1st Tm,TomlLa00
FB,Mack Strong,SEA,34,11,16,6,0,0,0,0,0,17,78,0,22,166,0,,0.0,0,AP: 1st Tm,StroMa00
FB,Lorenzo Neal,SDG,35,12,16,15,0,0,0,0,0,29,98,0,24,145,1,1,0.0,0,AP: 2nd Tm,NealLo00
T,Jon Jansen,WAS,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,JansJo20
G,Brian Waters,KAN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm,WateBr55
ILB,Zach Thomas,MIA,32,9,14,14,0,0,0,0,0,0,0,0,0,0,0,107,2.0,1,AP: 2nd Tm,ThomZa01
ILB,Mike Peterson,JAX,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,95,6.0,3,AP: 2nd Tm,PeteMi20
KR,Terrence McGee,BUF,25,2,15,14,0,0,0,0,0,0,0,0,0,0,0,60,0.0,4,AP: 2nd Tm,McGeTe99
K,Neil Rackers,ARI,29,5,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,rackenei01
WR,Chad Johnson,CIN,27,4,16,16,0,0,0,0,0,5,33,0,97,1432,9,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JohnCh01
LT,Walter Jones,SEA,31,8,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JoneWa00
MLB,Brian Urlacher,CHI,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,98,6.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,UrlaBr00
LG,Steve Hutchinson,SEA,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HutcSt00
QB,Peyton Manning,IND,29,7,16,16,305,453,3747,28,10,33,45,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MannPe00
WR,Jerome Mathis,HOU,22,Rook,12,0,0,0,0,0,0,0,0,0,5,65,1,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MathJe00
P,Brian Moorman,BUF,29,4,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MoorBr24
SS,Troy Polamalu,PIT,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,74,3.0,2,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PolaTr99
RDE,Dwight Freeney,IND,25,3,16,13,0,0,0,0,0,0,0,0,0,0,0,36,11.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,FreeDw00
LCB,Champ Bailey,DEN,27,6,14,14,0,0,0,0,0,0,0,0,0,0,0,60,0.0,8,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BailCh00
RB,Shaun Alexander,SEA,28,5,16,16,0,0,0,0,0,370,1880,27,15,78,1,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,AlexSh00
WR,Steve Smith Sr.,CAR,26,4,16,16,0,0,0,0,0,4,25,1,103,1563,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SmitSt01
LG,Alan Faneca,PIT,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,FaneAl00
TE,Antonio Gates,SDG,25,2,15,15,0,0,0,0,0,0,0,0,89,1101,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,GateAn00
FS,Darren Sharper,MIN,30,8,14,14,0,0,0,0,0,0,0,0,0,0,0,42,0.0,9,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,SharDa00
C,Olin Kreutz,CHI,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,KreuOl00
RDE,Osi Umenyiora,NYG,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,49,14.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,UmenOs99
RDE,Richard Seymour,NWE,26,4,12,12,0,0,0,0,0,0,0,0,0,0,0,36,4.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,SeymRi00
