Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Tom Brady,NWE,30,7,16,16,398,578,4806,50,8,37,98,2,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BradTo00
QB,Brett Favre,GNB,38,16,16,16,356,535,4155,28,15,29,12,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,FavrBr00
RB,LaDainian Tomlinson,SDG,28,6,16,16,1,1,17,1,0,315,1474,15,60,475,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,TomlLa00
RB,Brian Westbrook,PHI,28,5,15,15,0,0,0,0,0,278,1333,7,90,771,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,WestBr00
RB,Adrian Peterson,MIN,22,Rook,14,9,0,0,0,0,0,238,1341,12,19,268,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,PeteAd01
RB,Willie Parker,PIT,27,3,15,15,0,1,0,0,0,321,1316,2,23,164,0,0,0.0,0,FW: 1st Tm All-Conf.,ParkWi00
RB,Fred Taylor,JAX,31,9,15,15,0,0,0,0,0,223,1202,5,9,58,0,,0.0,0,AP: 2nd Tm,TaylFr00
FB,Lorenzo Neal,SDG,37,14,13,8,0,0,0,0,0,13,32,0,8,23,1,,0.0,0,AP: 1st Tm,NealLo00
FB,Tony Richardson,MIN,36,12,14,3,0,0,0,0,0,7,13,0,11,89,0,0,0.0,0,AP: 2nd Tm,RichTo00
WR,Randy Moss,NWE,30,9,16,16,0,0,0,0,0,0,0,0,98,1493,23,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,MossRa00
WR,Terrell Owens,DAL,34,11,15,15,0,0,0,0,0,1,5,0,81,1355,15,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,OwenTe00
WR,Braylon Edwards,CLE,24,2,16,16,0,0,0,0,0,0,0,0,80,1289,16,0,0.0,0,SN: 1st Tm AP: 2nd Tm,EdwaBr00
WR,Reggie Wayne,IND,29,6,16,16,0,0,0,0,0,1,4,0,104,1510,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WaynRe00
WR,Larry Fitzgerald,ARI,24,3,15,15,0,0,0,0,0,0,0,0,100,1409,10,0,0.0,0,FW: 1st Tm All-Conf.,FitzLa00
WR,Wes Welker,NWE,26,3,16,13,0,0,0,0,0,4,34,0,112,1175,8,0,0.0,0,AP: 2nd Tm,WelkWe00
TE,Jason Witten,DAL,25,4,16,16,0,0,0,0,0,0,0,0,96,1145,7,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,WittJa00
TE,Antonio Gates,SDG,27,4,16,16,0,0,0,0,0,0,0,0,75,984,9,0,0.0,0,FW: 1st Tm All-Conf.,GateAn00
TE,Tony Gonzalez,KAN,31,10,16,16,0,0,0,0,0,0,0,0,99,1172,5,0,0.0,0,AP: 2nd Tm,GonzTo00
T,Walter Jones,SEA,33,10,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JoneWa00
T,Matt Light,NWE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,LighMa20
T,Jason Peters,BUF,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,PeteJa21
T,Flozell Adams,DAL,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,AdamFl00
G,Steve Hutchinson,MIN,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,HutcSt00
