Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Aaron Rodgers,GNB,28,6,15,15,343,502,4643,45,6,60,257,3,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,RodgAa00
QB,Tom Brady,NWE,34,11,16,16,401,611,5235,39,12,43,109,3,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,BradTo00
QB,Drew Brees,NOR,32,10,16,16,468,657,5476,46,14,21,86,1,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,BreeDr00
RB,Maurice Jones-Drew,JAX,26,5,16,16,0,0,0,0,0,343,1606,8,43,374,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DrewMa00
RB,LeSean McCoy,PHI,23,2,15,15,0,0,0,0,0,273,1309,17,48,315,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,McCoLe01
RB,Ray Rice,BAL,24,3,16,16,1,1,1,1,0,291,1364,12,76,704,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,RiceRa00
RB,Marshawn Lynch,SEA,25,4,15,15,0,2,0,0,0,285,1204,12,28,212,1,0,0.0,0,FW: 1st Tm All-Conf.,LyncMa00
RB,Arian Foster,HOU,25,2,13,13,0,0,0,0,0,278,1224,10,53,617,2,0,0.0,0,AP: 2nd Tm,FostAr00
FB,Vonta Leach,BAL,30,7,16,16,0,0,0,0,0,12,35,0,15,69,0,0,0.0,0,AP: 1st Tm PFF: 1st Tm,LeacVo00
FB,John Kuhn,GNB,29,5,16,3,0,0,0,0,0,30,78,4,15,77,2,1,0.0,0,AP: 2nd Tm,KuhnJo00
FB,Jed Collins,NOR,25,Rook,16,11,0,0,0,0,0,4,4,2,11,50,2,1,0.0,0,PFF: 2nd Tm,CollJe01
WR,Wes Welker,NWE,30,7,16,15,0,0,0,0,0,4,30,0,122,1569,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WelkWe00
WR,Calvin Johnson,DET,26,4,16,16,0,0,0,0,0,1,11,0,96,1681,16,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JohnCa00
WR,Larry Fitzgerald,ARI,28,7,16,16,0,0,0,0,0,0,0,0,80,1411,8,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,FitzLa00
WR,Victor Cruz,NYG,25,1,16,7,0,0,0,0,0,1,3,0,82,1536,9,1,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,CruzVi00
WR,Mike Wallace,PIT,25,2,16,14,0,0,0,0,0,5,57,0,72,1193,8,0,0.0,0,FW: 1st Tm All-Conf.,WallMi00
WR,Jordy Nelson,GNB,26,3,16,9,0,0,0,0,0,0,0,0,68,1263,15,3,0.0,0,PFF: 2nd Tm,NelsJo00
WR,Steve Smith Sr.,CAR,32,10,16,16,0,0,0,0,0,6,56,0,79,1394,7,0,0.0,0,PFF: 2nd Tm,SmitSt01
TE,Rob Gronkowski,NWE,22,1,16,16,0,0,0,0,0,1,2,1,90,1327,17,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,GronRo00
TE,Jimmy Graham,NOR,25,1,16,11,0,0,0,0,0,0,0,0,99,1310,11,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,GrahJi00
T,Jason Peters,PHI,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,PeteJa21
