Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Matt Ryan,ATL,31,8,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,RyanMa00
QB,Tom Brady,NWE,39,16,12,12,291,432,3554,28,2,28,64,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,BradTo00
RB,Ezekiel Elliott,DAL,21,Rook,15,15,0,0,0,0,0,322,1631,15,32,363,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,ElliEz00
RB,David Johnson,ARI,25,1,16,16,0,0,0,0,0,293,1239,16,80,879,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JohnDa08
RB,Le'Veon Bell,PIT,24,3,12,12,0,1,0,0,0,261,1268,7,75,616,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,BellLe00
RB,DeMarco Murray,TEN,28,5,16,16,1,2,10,1,0,293,1287,9,53,377,3,0,0.0,0,FW: 1st Tm All-Conf.,MurrDe00
RB,Jay Ajayi,MIA,23,1,15,12,0,0,0,0,0,260,1272,8,27,151,0,0,0.0,0,PFF: 2nd Tm,AjayJa00
FB,Kyle Juszczyk,BAL,25,3,16,7,0,0,0,0,0,5,22,1,37,266,0,3,0.0,0,PFF: 1st Tm,JuszKy00
FB,James Develin,NWE,28,4,16,4,0,0,0,0,0,0,0,0,3,18,0,0,0.0,0,PFF: 2nd Tm,DeveJa00
WR,Julio Jones,ATL,27,5,14,14,0,0,0,0,0,0,0,0,83,1409,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JoneJu02
WR,Antonio Brown,PIT,28,6,15,15,0,0,0,0,0,3,9,0,106,1284,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,BrowAn04
WR,Mike Evans,TAM,23,2,16,16,0,0,0,0,0,0,0,0,96,1321,12,0,0.0,0,PFF: 1st Tm AP: 2nd Tm,EvanMi00
WR,Odell Beckham Jr.,NYG,24,2,16,16,0,0,0,0,0,1,9,0,101,1367,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,BeckOd00
WR,T.Y. Hilton,IND,27,4,16,16,0,0,0,0,0,0,0,0,91,1448,6,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,HiltT.00
TE,Travis Kelce,KAN,27,3,16,15,0,0,0,0,0,1,-5,0,85,1125,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,KelcTr00
TE,Greg Olsen,CAR,31,9,16,16,0,0,0,0,0,0,0,0,80,1073,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,OlseGr00
LT,David Bakhtiari,GNB,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,BakhDa00
T,Tyron Smith,DAL,26,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,SmitTy00
T,Trent Williams,WAS,28,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm SN: 1st Tm,WillTr21
T,Joe Thomas,CLE,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,ThomJo28
T,Donald Penn,OAK,33,9,16,16,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0,FW: 1st Tm All-Conf.,PennDo20
G,Kelechi Osemele,OAK,27,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,OsemKe00
G,Zack Martin,DAL,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,MartZa00
G,Marshal Yanda,BAL,32,9,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,YandMa20
G,T.J. Lang,GNB,29,7,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,LangT.20
C,Travis Frederick,DAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,FredTr00
C,Rodney Hudson,OAK,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,HudsRo00
C,Alex Mack,ATL,31,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,MackAl20
RG,Kevin Zeitler,CIN,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,ZeitKe00
RG,David DeCastro,PIT,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,DeCaDa00
RT,Jack Conklin,TEN,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm PFF: 1st Tm,ConkJa00
RT,Marcus Cannon,NWE,28,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,CannMa00
RT,Mitchell Schwartz,KAN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,SchwMi00
DE,Khalil Mack,OAK,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,54,11.0,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MackKh00
DE,Jadeveon Clowney,HOU,23,2,14,14,0,0,0,0,0,0,0,0,0,0,0,40,6.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,ClowJa00
DE,Brandon Graham,PHI,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,GrahBr99
DE,Cliff Avril,SEA,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,20,11.5,0,FW: 1st Tm All-Conf.,AvriCl99
DT,Aaron Donald,LAR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,36,8.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DonaAa00
DT,Damon Harrison,NYG,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,55,2.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,HarrDa03
DT,Geno Atkins,CIN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,21,9.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,AtkiGe99
DT,Calais Campbell,ARI,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,34,8.0,1,AP: 2nd Tm PFF: 1st Tm,CampCa99
DT,Ndamukong Suh,MIA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,SuhxNd99
DT,Gerald McCoy,TAM,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,26,7.0,0,AP: 2nd Tm,McCoGe99
OLB,Von Miller,DEN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,62,13.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MillVo00
OLB,Vic Beasley,ATL,24,1,16,12,0,0,0,0,0,0,0,0,0,0,0,32,15.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,BeasVi00
OLB,Lorenzo Alexander,BUF,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,56,12.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm,AlexLo99
OLB,Ryan Kerrigan,WAS,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,26,11.0,0,FW: 1st Tm All-Conf.,KerrRy00
MLB,Bobby Wagner,SEA,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,85,4.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WagnBo00
MLB,Dont'a Hightower,NWE,26,4,13,13,0,0,0,0,0,0,0,0,0,0,0,31,2.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,HighDo01
LB,Luke Kuechly,CAR,25,4,10,10,0,0,0,0,0,0,0,0,0,0,0,71,2.0,1,AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,KuecLu00
LB,Sean Lee,DAL,30,6,15,15,0,0,0,0,0,0,0,0,0,0,0,93,0.0,0,AP: 1st Tm PFF: 1st Tm,LeexSe99
LB,K.J. Wright,SEA,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,72,4.0,0,PFF: 2nd Tm,WrigK.00
LB,Paul Posluszny,JAX,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,1,PFF: 2nd Tm,PoluPa99
LB,Zach Brown,BUF,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,97,4.0,1,AP: 2nd Tm,BrowZa00
LB,Zach Orr,BAL,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,92,0.0,3,AP: 2nd Tm,OrrxZa00
LB,Alec Ogletree,LAR,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,98,0.0,2,AP: 2nd Tm,OgleAl00
LB,Lavonte David,TAM,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,67,5.0,1,AP: 2nd Tm,DaviLa00
LB,C.J. Mosley,BAL,24,2,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0.0,4,AP: 2nd Tm,MoslC.00
LB,Whitney Mercilus,HOU,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,36,7.5,0,AP: 2nd Tm,MercWh00
LB,Benardrick McKinney,HOU,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,5.0,0,AP: 2nd Tm,McKiBe00
CB,Aqib Talib,DEN,30,8,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0.0,3,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,TaliAq99
CB,Marcus Peters,KAN,23,1,15,15,0,0,0,0,0,0,0,0,0,0,0,35,0.0,6,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PeteMa00
CB,Malcolm Butler,NWE,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1.0,4,PFF: 1st Tm AP: 2nd Tm,ButlMa01
CB,Jackrabbit Jenkins,NYG,28,4,15,15,0,0,0,0,0,0,0,0,0,0,0,44,1.0,3,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,JenkJa03
CB,Patrick Peterson,ARI,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.0,3,FW: 1st Tm All-Conf.,PetePa00
CB,Casey Hayward,SDG,27,4,16,14,0,0,0,0,0,0,0,0,0,0,0,51,0.0,7,AP: 2nd Tm PFF: 2nd Tm,HaywCa00
