Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
LG,Larry Allen,DAL,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,AlleLa00
WR,Marvin Harrison,IND,28,4,16,16,0,0,0,0,0,0,0,0,102,1413,14,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,HarrMa00
RB,Eddie George,TEN,27,4,16,16,0,0,0,0,0,403,1509,14,50,453,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,GeorEd00
C,Tom Nalen,DEN,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm SN: 1st Tm,NaleTo00
WR,Az-Zahir Hakim,STL,23,2,16,4,0,0,0,0,0,5,19,0,53,734,4,1,0.0,0,FW: 1st Tm SN: 1st Tm,HakiAz00
LT,Orlando Pace,STL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,PaceOr00
RB,Edgerrin James,IND,22,1,16,16,0,0,0,0,0,387,1709,13,63,594,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,JameEd00
LT,Willie Roaf,NOR,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,RoafWi00
RB,Michael Bates,CAR,31,7,16,0,0,0,0,0,0,5,13,0,5,38,0,11,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,BateMi00
P,Darren Bennett,SDG,35,5,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,BennDa20
WR,Terrell Owens,SFO,27,4,14,13,0,0,0,0,0,3,11,0,97,1451,13,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,OwenTe00
MLB,Jeremiah Trotter,PHI,23,2,16,16,0,0,0,0,0,0,0,0,0,0,0,99,3.0,1,FW: 1st Tm All-Conf. AP: 1st Tm,TrotJe00
LOLB,Mo Lewis,NYJ,31,9,16,16,0,0,0,0,0,1,3,0,0,0,0,65,10.0,1,FW: 1st Tm All-Conf. AP: 2nd Tm,LewiMo00
LDT,Sam Adams,BAL,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,23,2.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,AdamSa00
DE,Trace Armstrong,MIA,35,11,16,0,0,0,0,0,0,0,0,0,0,0,0,24,16.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm,ArmsTr00
LCB,Champ Bailey,WAS,22,1,16,16,0,0,0,0,0,1,7,1,3,78,0,56,0.0,5,FW: 1st Tm All-Conf. AP: 2nd Tm,BailCh00
K,Martin Gramatica,TAM,25,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,gramamar01
TE,Chad Lewis,PHI,29,3,16,16,0,0,0,0,0,0,0,0,69,735,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,LewiCh00
LG,Steve Wisniewski,OAK,33,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WisnSt00
RB,Robert Smith,MIN,28,7,16,16,0,0,0,0,0,295,1521,7,36,348,3,,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,SmitRo00
DB,Darrick Vaughn,ATL,22,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,VaugDa20
WR,Rod Smith,DEN,30,5,16,16,0,0,0,0,0,6,99,1,100,1602,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,SmitRo01
FS,Rod Woodson,BAL,35,13,16,16,0,0,0,0,0,0,0,0,0,0,0,67,0.0,4,FW: 1st Tm All-Conf. AP: 2nd Tm,WoodRo01
LT,Brad Hopkins,TEN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,HopkBr00
RDT,Trevor Pryce,DEN,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,33,12.0,0,FW: 1st Tm All-Conf.,PrycTr00
P,Scott Player,ARI,31,2,16,0,0,0,0,0,0,1,-11,0,0,0,0,1,0.0,0,FW: 1st Tm All-Conf.,PlaySc20
RG,Ron Stone,NYG,29,6,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,StonRo00
C,Matt Birk,MIN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf.,BirkMa00
QB,Daunte Culpepper,MIN,23,1,16,16,297,474,3937,33,16,89,470,7,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,CulpDa00
LLB,Keith Mitchell,NOR,26,3,16,14,0,0,0,0,0,0,0,0,0,0,0,59,6.5,1,FW: 1st Tm All-Conf.,MitcKe00
WR,Desmond Howard,DET,30,8,15,0,0,0,0,0,0,0,0,0,2,14,0,,0.0,0,FW: 1st Tm All-Conf.,HowaDe00
LB,Larry Izzo,MIA,26,4,16,0,0,0,0,0,0,1,39,0,0,0,0,17,0.0,0,FW: 1st Tm All-Conf.,IzzoLa00
RDE,Joe Johnson,NOR,28,6,16,15,0,0,0,0,0,0,0,0,0,0,0,38,12.0,0,FW: 1st Tm All-Conf.,JohnJo04
LCB,Troy Vincent,PHI,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,64,1.0,5,FW: 1st Tm All-Conf.,VincTr00
FS,Brock Marion,MIA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,72,0.0,5,FW: 1st Tm All-Conf.,MariBr00
