Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
QB,Peyton Manning,IND,33,11,16,16,393,571,4500,33,16,19,-13,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 2nd Tm,MannPe00
QB,Drew Brees,NOR,30,8,15,15,363,514,4388,34,11,22,33,2,1,-4,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,BreeDr00
QB,Philip Rivers,SDG,28,5,16,16,317,486,4254,28,9,26,50,1,0,0,0,0,0.0,0,PFF: 1st Tm,RivePh00
RB,Chris Johnson,TEN,24,1,16,16,0,1,0,0,0,358,2006,14,50,503,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JohnCh04
RB,Adrian Peterson,MIN,24,2,16,15,0,0,0,0,0,314,1383,18,43,436,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PeteAd01
RB,Steven Jackson,STL,26,5,15,15,0,0,0,0,0,324,1416,4,51,322,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 2nd Tm,JackSt00
RB,Maurice Jones-Drew,JAX,24,3,16,16,0,0,0,0,0,312,1391,15,53,374,1,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm SN: 2nd Tm,DrewMa00
RB,Ray Rice,BAL,22,1,16,15,0,1,0,0,0,254,1339,7,78,702,1,0,0.0,0,AP: 2nd Tm,RiceRa00
FB,Leonard Weaver,PHI,27,4,16,8,0,0,0,0,0,70,323,2,15,140,2,3,0.0,0,AP: 1st Tm,WeavLe00
FB,Lousaka Polite,MIA,28,5,16,9,0,0,0,0,0,37,123,0,11,51,0,0,0.0,0,PFF: 1st Tm,PoliLo00
FB,Le'Ron McClain,BAL,25,2,16,14,0,0,0,0,0,46,180,2,21,141,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,McClLe00
WR,Andre Johnson,HOU,28,6,16,16,0,0,0,0,0,2,10,0,101,1569,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,JohnAn02
WR,Wes Welker,NWE,28,5,14,13,0,0,0,0,0,5,36,0,123,1348,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,WelkWe00
WR,Larry Fitzgerald,ARI,26,5,16,16,0,0,0,0,0,0,0,0,97,1092,13,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,FitzLa00
WR,Reggie Wayne,IND,31,8,16,16,0,1,0,0,1,0,0,0,100,1264,10,0,0.0,0,AP: 2nd Tm PFF: 1st Tm SN: 2nd Tm,WaynRe00
WR,Vincent Jackson,SDG,26,4,15,15,0,0,0,0,0,3,11,0,68,1167,9,0,0.0,0,PFF: 1st Tm,JackVi00
WR,Sidney Rice,MIN,23,2,16,14,0,1,0,0,0,0,0,0,83,1312,8,0,0.0,0,PFF: 2nd Tm,RiceSi01
